,Item,Price,Rating,No of Ratings,Link
21,Refurbished Huawei Honor 6x Smart phone 4gb+64gb 14mp+8mp 3340mAh 5.5-inch gold dual card mobile phone,"KSh 7,222",4,67,https://www.kilimall.co.ke/new/goods/17933243-Refurbished---Huawei-Honor--6x---Smart-phone--4gb64gb-14mp8mp-3340mAh--55inch---gold---dual-card-mobile-phone
22,"Refurbished Samsung Galaxy A51 5G 128+6GB 4500mAh 6.5"" 48MP + 32MP 2G/3G/4G/5G LTE Android single SIM Smartphones Waterproof google Smart Phones","KSh 21,560",4,21,https://www.kilimall.co.ke/new/goods/18452105-Refurbished-Samsung-Galaxy-A51-5G-1286GB-4500mAh-65-48MP--32MP-2G3G4G5G-LTE-Android-single-SIM-Smartphones-Waterproof-google-Smart-Phones
23,Refurbished Samsung Galaxy S7 Edge Smart Phone 5.5'' 4GB+32GB 5MP+12MP 4G LTE Dual SIM 3600mAh Unlocked phones,"KSh 7,199",4,98,https://www.kilimall.co.ke/new/goods/17564218-Refurbished-Samsung-Galaxy-S7-Edge--Smart-Phone-55-4GB32GB-5MP12MP-4G-LTE-Dual-SIM--3600mAh-Unlocked-phones
24,"KGTEL SOLO 10 32GB Storage 2GB RAM 5000mAh Dual SIM 8MP+8MP Camera 6.6"" Screen Fingerprint Smart Phones","KSh 8,199",4,19,https://www.kilimall.co.ke/new/goods/18487963-KGTEL-SOLO-10-32GB-Storage-2GB-RAM-5000mAh-Dual-SIM-8MP8MP-Camera-66-Screen-Fingerprint-Smart-Phones
25,Refurbished oppo a37 phone 100%Original 16GB 2GB Mobile Phone 1920X1080,"KSh 4,500",4,357,https://www.kilimall.co.ke/new/goods/16438652-Refurbished-oppo-a37-phone--100Original-16GB-2GB--Mobile-Phone-1920X1080
26,Refurbished oppo a37 phone 100%Original 16GB 2GB Mobile Phone 1920X1080 2+16GB,"KSh 4,600",4,24,https://www.kilimall.co.ke/new/goods/18602174-Refurbished-oppo-a37-phone-100Original-16GB-2GB-Mobile-Phone-1920X1080-216GB
27,"Refurbished OPPO A57 F1 32GB+3GB 5.2 "" 13MP+16MP oppoa57 Fingerprint unlock 4G LTE Mobile Phones Android Octa Core IPS OPPOA57 A57F Refurbished SmartPhones","KSh 6,199",4,4,https://www.kilimall.co.ke/new/goods/18391648-Refurbished-OPPO-A57-F1-32GB3GB-52--13MP16MP-oppoa57-Fingerprint-unlock-4G-LTE-Mobile-Phones-Android-Octa-Core-IPS-OPPOA57-A57F-Refurbished-SmartPhones
28,"Nokia 225 2020 button mobile phone dual-card GSM super signal, long-lasting battery, camera function mobile phone, anti-fall and durable spare mobile phone","KSh 2,999",4,4,https://www.kilimall.co.ke/new/goods/18738629-Nokia-225-2020-button-mobile-phone-dualcard-GSM-super-signal-longlasting-battery-camera-function-mobile-phone-antifall-and-durable-spare-mobile-phone
29,"[Today Only] Samsung Galaxy A04e Mobile Phone 6.5"" HD+ Display Dual SIM 32GB+3GB Unlocked International Version 5000mAh Battery Smart Phones","KSh 12,599",5,6,https://www.kilimall.co.ke/new/goods/18627953-Today-Only-Samsung-Galaxy-A04e-Mobile-Phone-65-HD-Display-Dual-SIM-32GB3GB-Unlocked-International-Version-5000mAh-Battery-Smart-Phones
30,Refurbished Samsung Galaxy S7 Edge G9350 5.5'' Dual Nano SIM 4GB+32GB 5MP+12MP 2G/3G/4G LTE 3600mAh Screen lines or dots Unlocked phones,"KSh 6,999",4,49,https://www.kilimall.co.ke/new/goods/18594962-Refurbished-Samsung-Galaxy-S7-Edge-G9350-55-Dual-Nano-SIM-4GB32GB-5MP12MP-2G3G4G-LTE-3600mAh-Screen-lines-or-dots-Unlocked-phones
31,Xiaomi Redmi 10C 6.71'' 128GB+4GB Snapdragon 680 CPU 50MP Camera 5000mAh 4G Dual SIM Smart Phones,"KSh 19,599",4,23,https://www.kilimall.co.ke/new/goods/18486706-Xiaomi-Redmi-10C-671-128GB4GB-Snapdragon-680-CPU-50MP-Camera-5000mAh-4G-Dual-SIM-Smart-Phones
32,SIMI S300P 1.77inch Feature Phone Bar Phone Dual SIM 1050mAh Battery Capacity ，Extended Memory，Strong Flashlight，Video，Games ，Camera FM Radio Large Speakers ，Loud Volu,"KSh 1,099",4,21,https://www.kilimall.co.ke/new/goods/18659525-SIMI-S300P-177inch-Feature-Phone-Bar-Phone-Dual-SIM-1050mAh-Battery-Capacity-Extended-MemoryStrong-FlashlightVideoGames-Camera-FM-Radio--Large-Speakers-Loud-Volu
33,Refurbished Phones OPPO A83 64GB+4GB 5.7 inches 2G/3G/4G LTE Dual SIM 3180mAh 13MP+8MP Facial Unlocked Full Screen Facial Recognition AI Smart Beauty,"KSh 6,888",3,18,https://www.kilimall.co.ke/new/goods/18752113-Refurbished-Phones-OPPO-A83-64GB4GB-57-inches-2G3G4G-LTE-Dual-SIM-3180mAh-13MP8MP-Facial-Unlocked-Full-Screen-Facial-Recognition--AI-Smart-Beauty
34,Refurbished Samsung Galaxy S7 Active G891A Smart Phone 5.1''1440X2560 4GB+32GB 5MP+12MP 2G/3G/4G 4000mAh fingerprint Smartphone,"KSh 6,699",4,35,https://www.kilimall.co.ke/new/goods/17673293-Refurbished-Samsung-Galaxy-S7-Active-G891A-Smart-Phone-511440X2560-4GB32GB-5MP12MP-2G3G4G--4000mAh-fingerprint-Smartphone
35,Refurbished oppo Reno smart phone 256GB/128GB+6GB face unlock 6.4-inch 48MP+16MP+5MP 2G / 3G / 4G /LTE DUAL SIM,"KSh 10,999",4,68,https://www.kilimall.co.ke/new/goods/18454183-Refurbished-oppo-Reno-smart-phone-256GB128GB6GB-face-unlock--64inch-48MP16MP5MP-2G--3G--4G-LTE-DUAL-SIM
36,Refurbished OPPO A59s Smart Phone 5.5 inches screen 3075mAh battery 16MP+13MP cameras 4GB ram +32GB rom 2G/3G/4G LTE Dual SIM card Unlocked phones,"KSh 6,179",3,5,https://www.kilimall.co.ke/new/goods/18546509-Refurbished-OPPO-A59s-Smart-Phone-55-inches-screen-3075mAh-battery-16MP13MP-cameras-4GB-ram-32GB-rom-2G3G4G-LTE-Dual-SIM-card-Unlocked-phones
37,"Refurbished Samsung Galaxy Note 10 single sim 8GB+256GB 6.3"" Snapdragon 855 Original Mobile Phone Samsung Note10 4G phone","KSh 19,999",4,20,https://www.kilimall.co.ke/new/goods/18480096-Refurbished-Samsung-Galaxy-Note-10-single-sim-8GB256GB-63-Snapdragon-855-Original-Mobile-Phone-Samsung-Note10-4G-phone
38,Refurbished huawei mate8 mate 8 Smart phone 64+4GB Dual SIM Gold Get Limited Gift,"KSh 7,999",4,521,https://www.kilimall.co.ke/new/goods/13563579-Refurbished-huawei--mate8-mate-8-Smart-phone-644GB-Dual-SIM-Gold-Get-Limited-Gift
39,Refurbished phones OPPO A57 3+32GB Dual SIM smartphone Google support UMTS & LTE 3GB+32GB Gold gifts,"KSh 5,399",4,239,https://www.kilimall.co.ke/new/goods/17871943-Refurbished-phones-OPPO-A57-332GB-Dual-SIM-smartphone-Google-support-UMTS--LTE-3GB32GB-Gold-gifts
